main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[KCG2015] 43c,342.1806916666667,-44.53865555555555,G,1.035,D,2015A&A...574A..11K
[KCG2015] 47,342.1769875,-44.546325,G,1.477,D,2015A&A...574A..11K
[KCC2017] NE-75,342.200265,-44.525199,GiC,0.3528,C,2014ApJ...792...45R
[KIS2018] AS1063 62.1,342.183917,-44.535313,LeI,6.108,C,2018ApJ...855....4K
[KCG2015] 5,342.1708458333334,-44.53586944444444,G,0.336,D,2015A&A...574A..11K
[GVR2012] 458,342.172241,-44.562679,GiC,0.3429,D,2012AJ....144...79G
[KCC2017] NE-95,342.19711,-44.52467,G,0.33,D,2017A&A...599A..28K
[BHF2019] RXCJ2248    169,342.1961,-44.5489,G,1.6,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248    408,342.1826,-44.5467,G,2.98,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248    800,342.1923,-44.54129999999999,G,1.21,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   2871,342.1971,-44.51330000000001,G,1.34,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   3122,342.1807,-44.5102,G,2.95,E,2021MNRAS.501.1028Y
[KCC2017] NE-55,342.18857,-44.52671,G,0.348,D,2017A&A...599A..28K
[KIS2018] AS1063 58.2,342.190144,-44.530948,LeI,5.051,C,2018ApJ...855....4K
MKTCS J224841.78-443157.1,342.1739458333332,-44.53242222222222,LeG,0.611532,C,2018MNRAS.477...18P
[STB2016] GLASS RXJ2248 01906,342.19369116,-44.516422494,LeG,8.0,E,2016ApJ...818...38S
CLASH RXJ2248-4431  619,342.1763786,-44.5235886,LeG,5.9,E,2014ApJ...792...76B
[KCG2015] 62,342.18197083333337,-44.538580555555555,G,0.3502,D,2017A&A...599A..28K
[JSB2014] AS1063 11,342.175042,-44.541031,G,3.1169,D,2016ApJ...821L..27V
[KIS2018] AS1063 62.2,342.18845999999996,-44.536173999999995,LeI,6.108,C,2018ApJ...855....4K
[GVR2012] 309,342.191144,-44.556753,GiC,0.3354,D,2012AJ....144...79G
[GVR2012] 381,342.17052083333334,-44.56849722222223,G,0.4605,D,2012AJ....144...79G
[KCG2015] 73,342.16877,-44.53399,G,0.3278,D,2017A&A...599A..28K
[KCC2017] NE-82,342.19539,-44.51676,G,0.394,D,2017A&A...599A..28K
[KCC2017] NE-93a,342.18283,-44.52028,G,3.169,D,2017A&A...599A..28K
[KCG2015] 17,342.1769208333334,-44.537436111111106,G,0.347,D,2015A&A...574A..11K
[KCC2017] NE-64,342.20508,-44.52591,G,0.3495,D,2017A&A...599A..28K
[KCC2017] NE-70,342.19534,-44.5349,G,0.3514,D,2017A&A...599A..28K
[KCC2017] NE-37,342.17724,-44.52502,G,0.3446,D,2017A&A...599A..28K
[KCC2017] NE-21,342.18917,-44.52368,G,0.3397,D,2017A&A...599A..28K
[BHF2019] RXCJ2248   1827,342.2084851,-44.5292163,LeG,1.6372,C,2018A&A...613A..72G
[KCC2017] NE-41,342.19123,-44.53513,G,0.3454,D,2017A&A...599A..28K
[KCC2017] NE-74,342.19002,-44.52413,G,0.353,D,2017A&A...599A..28K
NAME CMC2020 GLASS 01845-99-99,342.1707948,-44.5491248,LeG,2.3015,C,2018A&A...613A..72G
CLASH RXJ2248-4431 1551,342.1679855,-44.5425066,LeG,5.92,E,2018ApJ...862..156L
[BHF2019] RXCJ2248    617,342.193776,-44.542721,LeG,6.44,E,2022MNRAS.514.1148Y
[BHF2019] RXCJ2248   2608,342.172002,-44.519330999999994,LeG,6.55,E,2022MNRAS.514.1148Y
CLASH RXJ2248-4431  743,342.1733274,-44.5259336,LeG,5.92,E,2018ApJ...854...73I
[LBL2018] AS1063 cluster  9,342.175649,-44.5180795,G?,5.611,E,2018ApJ...862..156L
[IKO2018] HFF5C-4414-2071,342.183917,-44.535313,G,6.26,E,2018ApJ...854...73I
[RJL2014] AS1063 9.3,342.16782,-44.526293,LeG,2.7,E,2014MNRAS.438.1417M
[MSG2014] 11c,342.16556,-44.529543,LeG,3.117,C,2018ApJ...855....4K
[GVR2012] 1269,342.122207,-44.530687,GiC,0.342,D,2012AJ....144...79G
[GVR2012] 1410,342.14834166666674,-44.51962777777778,G,0.611,D,2012AJ....144...79G
[GVR2012] 1684,342.1255499999999,-44.55034722222222,G,0.2472,D,2012AJ....144...79G
[KCG2015] 32,342.16265000000004,-44.538088888888886,G,0.355,D,2015A&A...574A..11K
[BHF2019] RXCJ2248   2405,342.1617,-44.5229,G,1.419,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   2922,342.1634,-44.5148,G,1.55,E,2021MNRAS.501.1028Y
[GVR2012] 1867,342.1503083333333,-44.49486944444445,G,0.1502,D,2012AJ....144...79G
NAME CMC2020 MUSE SW 48-99-99,342.1610461,-44.5381665,LeG,2.5803,C,2018A&A...613A..72G
[LBL2018] AS1063 cluster  8,342.1715824,-44.5121431,G?,5.577,E,2018ApJ...862..156L
[WEC2019] 32,342.135,-44.549913888888895,G,0.745,D,2019ApJ...877....7W
[WEC2019] 42,342.15319583333337,-44.56231944444444,G,1.116,D,2019ApJ...877....7W
[WEC2019] 39,342.15067500000004,-44.517041666666664,G,1.034,E,2019ApJ...877....7W
