chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
70    108 4.607   3      5.62    0.00    0.00    0.00   0.154    0.00    N/A     N/A   3
71   209c 5.100   1      8.02    0.00    0.00    0.00   0.233    0.00   -0.21   -0.09  1
71   209b 5.100   1     13.05    0.00    0.00    0.00   0.298    0.00    0.30   -0.04  1
71   209a 5.100   1      3.48    0.00    0.00    0.00   0.154    0.00   -0.08    0.13  1
71    209 5.100   3     24.55    0.00    0.00    0.00   0.236    0.00    N/A     N/A   3
72  21.3c 5.106   1      5.18    0.00    0.00    0.00   0.120    0.00   -0.04    0.11  1
72  21.3b 5.106   1      5.18    0.00    0.00    0.00   0.120    0.00    0.04   -0.11  1
72   21.3 5.106   2     10.37    0.00    0.00    0.00   0.120    0.00    N/A     N/A   2
73  21.2c 5.106   1      3.99    0.00    0.00    0.00   0.098    0.00   -0.03    0.09  1
73  21.2b 5.106   1      3.99    0.00    0.00    0.00   0.098    0.00    0.03   -0.09  1
73   21.2 5.106   2      7.98    0.00    0.00    0.00   0.098    0.00    N/A     N/A   2
74  21.1c 5.106   1      5.04    0.00    0.00    0.00   0.118    0.00   -0.04    0.11  1
74  21.1b 5.106   1      5.04    0.00    0.00    0.00   0.118    0.00    0.04   -0.11  1
74   21.1 5.106   2     10.09    0.00    0.00    0.00   0.118    0.00    N/A     N/A   2
75    32c 5.365   1      2.54    0.00    0.00    0.00   0.171    0.00   -0.16    0.07  1
75    32b 5.365   1     11.09    0.00    0.00    0.00   0.357    0.00    0.30   -0.19  1
75    32a 5.365   1      3.12    0.00    0.00    0.00   0.190    0.00   -0.15    0.12  1
75     32 5.365   3     16.75    0.00    0.00    0.00   0.254    0.00    N/A     N/A   3
76    35c 5.638   1     16.68    0.00    0.00    0.00   0.439    0.00   -0.25   -0.36  1
76    35b 5.638   1     61.34    0.00    0.00    0.00   0.841    0.00    0.56    0.63  1
76    35a 5.638   1     14.59    0.00    0.00    0.00   0.410    0.00   -0.31   -0.27  1
76     35 5.638   3     92.61    0.00    0.00    0.00   0.597    0.00    N/A     N/A   3
77    33b 5.973   1      2.57    0.00    0.00    0.00   0.097    0.00   -0.05   -0.08  1
77    33a 5.973   1      2.57    0.00    0.00    0.00   0.097    0.00    0.05    0.08  1
77     33 5.973   2      5.15    0.00    0.00    0.00   0.097    0.00    N/A     N/A   2
78   113b 5.995   1      5.09    0.00    0.00    0.00   0.267    0.00    0.14   -0.23  1
78   113a 5.995   1      5.09    0.00    0.00    0.00   0.267    0.00   -0.14    0.23  1
78    113 5.995   2     10.17    0.00    0.00    0.00   0.267    0.00    N/A     N/A   2
79   102c 6.064   1      7.66    0.00    0.00    0.00   0.288    0.00    0.27   -0.10  1
